year,nao_variance_north
1950,0.5966490909090908
1951,1.1446424242424245
1952,0.8366810606060606
1953,0.7778446969696969
1954,0.7306992424242424
1955,1.2317719696969698
1956,0.9877969696969697
1957,0.9432931818181818
1958,1.1146810606060606
1959,0.33305681818181826
1960,1.0496333333333334
1961,0.6126333333333333
1962,1.3588818181818185
1963,1.7369151515151515
1964,1.5490083333333333
1965,0.7506969696969695
1966,1.0752810606060608
1967,0.6804810606060606
1968,0.7673537878787879
1969,1.6567606060606055
1970,0.9010606060606061
1971,0.8187272727272726
1972,0.22677196969696975
1973,0.38131136363636364
1974,0.39685681818181817
1975,1.1101174242424243
1976,0.6701901515151515
1977,0.4483174242424244
1978,2.2267181818181814
1979,1.3543537878787877
1980,1.158826515151515
1981,0.6680628787878788
1982,1.1854363636363636
1983,1.1791719696969698
1984,0.41096060606060586
1985,0.6013424242424242
1986,1.4138810606060608
1987,1.2340242424242425
1988,0.6053477272727272
1989,0.7048333333333333
1990,1.1414727272727274
1991,0.3802151515151515
1992,1.2695818181818181
1993,2.0720878787878787
1994,0.9759840909090911
1995,1.1555878787878786
1996,0.5741719696969698
1997,1.3594265151515148
1998,1.002351515151515
1999,0.4312810606060607
2000,0.9088810606060604
2001,0.2600151515151516
2002,0.9432151515151515
2003,0.3425901515151515
2004,0.6038818181818182
2005,0.9481454545454544
2006,1.5788083333333334
2007,0.6310787878787878
2008,0.9399333333333332
2009,1.1453719696969695
2010,0.2469901515151516
2011,1.7442810606060606
2012,2.1616545454545455
2013,0.6964454545454546
2014,1.1556992424242425
2015,2.1333242424242425
2016,1.3844151515151515
2017,1.0375477272727271
2018,0.7485356060606061
2019,1.3159840909090905
2020,1.305553787878788
2021,0.74795
