year,nao
1950,0.5889071428571429
1951,1.7411142857142856
1952,0.1432
1953,0.730107142857143
1954,0.7020410714285713
1955,1.3468
1956,1.139257142857143
1957,0.9954214285714285
1958,1.245257142857143
1959,0.08228392857142859
1960,0.6989714285714285
1961,0.8784785714285714
1962,0.9243357142857145
1963,2.1767928571428574
1964,1.1946857142857144
1965,0.7979928571428572
1966,0.7839642857142858
1967,0.7372267857142856
1968,0.7063142857142858
1969,1.1981982142857142
1970,0.9108285714285713
1971,0.7882125000000001
1972,0.2598982142857143
1973,0.4160125
1974,0.6412125
1975,0.8726000000000002
1976,1.3672285714285715
1977,0.2961642857142857
1978,2.3127071428571426
1979,0.7110571428571429
1980,1.2107982142857145
1981,0.47634107142857146
1982,1.7194553571428572
1983,0.9850571428571431
1984,0.2343714285714286
1985,0.589792857142857
1986,1.4860696428571427
1987,0.9286839285714285
1988,0.5549428571428573
1989,1.0361428571428573
1990,0.66565
1991,0.4215982142857143
1992,1.6102785714285712
1993,2.9404982142857143
1994,1.5052267857142856
1995,0.8725428571428571
1996,0.7987982142857143
1997,0.9256982142857143
1998,1.3462571428571433
1999,0.5545410714285713
2000,0.8109142857142858
2001,0.19165535714285714
2002,0.8922214285714286
2003,0.3936982142857143
2004,0.787969642857143
2005,0.4003642857142857
2006,2.0216125000000003
2007,0.5165428571428572
2008,0.8235982142857143
2009,2.088135714285714
2010,0.2358214285714286
2011,2.048826785714286
2012,0.7441142857142856
2013,0.5467357142857143
2014,1.824307142857143
2015,2.7682410714285717
2016,0.8653553571428573
2017,1.0626571428571427
2018,0.549269642857143
2019,1.4112000000000002
2020,1.3630214285714286
2021,
