year,nao_mean_tropic
1950,0.4225
1951,-0.30000000000000004
1952,-0.0016666666666666496
1953,-0.5491666666666667
1954,0.2733333333333334
1955,-0.4583333333333333
1956,-0.2775
1957,0.1925
1958,-0.49416666666666664
1959,-0.3216666666666668
1960,0.15750000000000008
1961,-0.22833333333333336
1962,0.028333333333333283
1963,-0.7200000000000001
1964,-0.27999999999999997
1965,0.021666666666666667
1966,-0.20166666666666663
1967,0.030833333333333348
1968,0.13083333333333327
1969,-0.9875000000000003
1970,-0.11749999999999998
1971,-0.15749999999999995
1972,0.26499999999999996
1973,0.47333333333333333
1974,-0.0008333333333333434
1975,-0.1466666666666667
1976,0.25416666666666665
1977,-0.09416666666666669
1978,-0.3625
1979,0.23666666666666666
1980,0.40666666666666673
1981,-0.3975
1982,-0.12500000000000003
1983,0.4008333333333334
1984,0.35749999999999993
1985,-0.028333333333333363
1986,0.050833333333333335
1987,0.42250000000000004
1988,-0.10749999999999997
1989,0.39166666666666666
1990,0.7525000000000001
1991,0.2675
1992,0.4083333333333334
1993,0.5866666666666667
1994,0.19249999999999992
1995,0.4566666666666667
1996,-0.3366666666666666
1997,-0.026666666666666672
1998,-0.25499999999999995
1999,-0.49166666666666653
2000,0.6158333333333333
2001,-0.09333333333333332
2002,0.14833333333333334
2003,-0.16833333333333325
2004,0.16583333333333333
2005,0.04166666666666665
2006,-0.15166666666666667
2007,-0.15416666666666667
2008,0.11249999999999999
2009,-0.3958333333333335
2010,-0.6691666666666666
2011,-0.5191666666666669
2012,0.32833333333333337
2013,-0.8183333333333334
2014,0.5233333333333333
2015,0.3991666666666667
2016,0.22666666666666668
2017,0.0566666666666667
2018,0.17416666666666666
2019,1.0208333333333333
2020,-0.3175
2021,-0.06416666666666666
2022,-1.24
