year,nino34_mean_tropic
1950,-1.66
1951,-1.0416666666666665
1952,0.1925
1953,-0.25333333333333335
1954,0.09749999999999999
1955,-1.1708333333333332
1956,-1.4308333333333334
1957,-0.6725
1958,0.9425
1959,0.11249999999999999
1960,-0.49499999999999994
1961,-0.35083333333333333
1962,-0.5716666666666667
1963,-0.6208333333333333
1964,0.32083333333333336
1965,-1.0225
1966,0.9058333333333333
1967,-0.49500000000000005
1968,-0.6716666666666667
1969,0.3308333333333333
1970,0.1958333333333333
1971,-1.1516666666666666
1972,-0.8741666666666666
1973,1.0183333333333333
1974,-1.6791666666666665
1975,-0.8941666666666669
1976,-1.47
1977,0.1708333333333333
1978,0.17166666666666663
1979,-0.39583333333333326
1980,0.0675
1981,-0.24249999999999997
1982,-0.25000000000000006
1983,1.3583333333333334
1984,-0.4166666666666667
1985,-0.8133333333333334
1986,-0.6108333333333335
1987,0.5558333333333333
1988,0.8450000000000001
1989,-1.5466666666666669
1990,-0.2924999999999999
1991,0.18500000000000003
1992,1.0491666666666666
1993,0.2191666666666667
1994,0.21583333333333335
1995,0.6233333333333334
1996,-0.6383333333333333
1997,-0.3675
1998,1.7416666666666665
1999,-1.0858333333333332
2000,-1.2950000000000002
2001,-0.6725
2002,-0.15833333333333335
2003,0.7733333333333334
2004,0.1425
2005,0.5091666666666667
2006,-0.3466666666666667
2007,0.33249999999999996
2008,-1.1083333333333332
2009,-0.5491666666666667
2010,0.8524999999999999
2011,-1.1875
2012,-0.7275
2013,-0.04833333333333334
2014,-0.2991666666666667
2015,0.39583333333333326
2016,1.9000000000000001
2017,-0.3025
2018,-0.43416666666666676
2019,0.5
2020,0.3958333333333333
2021,-0.8058333333333333
2022,-0.49
