year,nao_variance_tropic
1950,0.31829166666666664
1951,0.5327272727272727
1952,1.5452696969696966
1953,0.30069924242424234
1954,0.7025151515151515
1955,0.7097060606060605
1956,1.0026568181818183
1957,0.9939295454545455
1958,0.9426992424242422
1959,0.9753060606060607
1960,0.8936022727272728
1961,0.7443424242424242
1962,1.2681606060606063
1963,0.8599090909090911
1964,1.7105636363636365
1965,1.3179424242424242
1966,1.003178787878788
1967,0.7877356060606059
1968,0.8560083333333334
1969,1.1134022727272728
1970,1.2598568181818182
1971,0.7433295454545452
1972,0.5420818181818183
1973,0.3090060606060607
1974,0.4859356060606061
1975,0.7193878787878787
1976,0.6474265151515152
1977,1.082153787878788
1978,0.7559295454545455
1979,2.33060606060606
1980,0.7239151515151515
1981,1.1388750000000003
1982,0.702409090909091
1983,1.4734083333333332
1984,0.8791113636363638
1985,0.4361606060606061
1986,0.8772628787878785
1987,1.5479477272727271
1988,0.8865477272727272
1989,0.9962333333333336
1990,0.9887295454545455
1991,0.5392931818181816
1992,0.5925242424242424
1993,1.1548060606060604
1994,2.2395659090909086
1995,1.2378242424242425
1996,0.5756969696969696
1997,1.124569696969697
1998,0.7855181818181819
1999,1.1838696969696973
2000,0.5036265151515151
2001,0.6785151515151516
2002,0.4256151515151514
2003,0.6846151515151516
2004,0.4454810606060606
2005,1.0380878787878787
2006,0.7619969696969697
2007,1.5932628787878789
2008,0.5459113636363637
2009,0.6904265151515152
2010,1.553026515151515
2011,1.5132446969696967
2012,1.497615151515152
2013,0.9314515151515149
2014,0.4293515151515152
2015,1.6792083333333336
2016,1.995478787878788
2017,1.1024060606060606
2018,1.2944810606060608
2019,0.47220833333333334
2020,1.748402272727273
2021,1.2202265151515153
2022,
