year,nao_variance_south
1950,0.44375
1951,0.5327272727272727
1952,1.6253719696969697
1953,0.27059015151515153
1954,0.6328628787878787
1955,0.6981719696969697
1956,1.5155545454545452
1957,0.643475
1958,0.9383242424242423
1959,1.0177356060606062
1960,0.8964386363636362
1961,0.6991174242424243
1962,1.2554363636363637
1963,1.5403060606060608
1964,1.2071333333333332
1965,1.3229515151515152
1966,0.9980878787878787
1967,0.868127272727273
1968,1.0623333333333334
1969,1.2336272727272726
1970,1.3604696969696968
1971,0.6264810606060606
1972,0.578184090909091
1973,0.34954772727272726
1974,0.47329924242424243
1975,0.7306727272727271
1976,0.6216386363636364
1977,1.009353787878788
1978,0.8940810606060606
1979,2.378081060606061
1980,0.8650931818181818
1981,1.0389356060606063
1982,0.7036810606060606
1983,1.4131901515151515
1984,0.8627060606060607
1985,0.4181356060606061
1986,0.8951295454545455
1987,1.5594606060606055
1988,0.827551515151515
1989,1.0756083333333333
1990,1.3624
1991,0.22912424242424248
1992,0.9821719696969695
1993,0.8569477272727273
1994,2.206109090909091
1995,1.4800909090909093
1996,0.5009356060606062
1997,1.0287242424242424
1998,0.880378787878788
1999,1.2646454545454544
2000,0.5764265151515153
2001,0.40506060606060607
2002,0.4350696969696969
2003,0.6868628787878788
2004,0.4430810606060607
2005,1.1720515151515152
2006,0.7410386363636363
2007,1.5406265151515155
2008,0.7840060606060605
2009,0.8322515151515152
2010,1.036460606060606
2011,1.4312363636363639
2012,1.6178386363636363
2013,1.0893181818181816
2014,0.6017174242424242
2015,1.5179787878787878
2016,2.078836363636364
2017,1.3820515151515151
2018,1.1207636363636362
2019,1.3972265151515153
2020,1.2302242424242422
2021,1.3298242424242426
